genloc,isolate
561,123
561,36
357,183
357,189
935,60
561,36
357,114
357,189
935,183
357,210
357,153
748,183
357,153
476,36
561,117
357,189
357,123
748,177
476,156
357,189
357,192
748,156
357,45
561,189
748,111
748,183
476,177
357,156
357,153
561,114
561,123
748,153
476,114
561,156
357,48
935,105
561,114
595,54
476,219
561,12
357,60
357,48
935,36
748,189
561,177
595,231
357,189
561,189
357,153
476,123
561,117
595,195
595,156
357,87
357,216
357,153
357,114
561,45
595,117
561,48
935,96
561,117
561,189
357,117
561,114
595,168
357,48
561,87
561,45
357,189
357,114
476,114
935,123
561,12
357,36
748,12
935,189
561,219
357,36
357,183
935,153
357,36
476,177
561,189
357,168
357,189
595,189
595,123
357,189
561,183
357,45
561,45
561,12
357,45
561,159
357,126
357,189
476,114
476,177
357,147
357,60
561,126
748,189
561,159
357,36
476,177
476,54
357,66
561,189
748,60
357,126
561,126
357,156
476,126
561,126
357,45
748,156
357,126
748,129
357,183
357,177
357,45
357,159
357,66
357,126
357,126
476,153
561,153
357,189
357,126
561,126
561,126
476,156
561,219
561,12
357,36
357,231
561,231
357,12
748,45
476,219
561,210
561,126
357,189
561,231
561,48
748,162
357,126
561,45
561,126
357,114
561,138
561,45
561,126
561,117
357,45
748,156
357,189
748,156
561,159
561,177
